TrackLeft,TrackCenterLeft,TrackCenter,TrackCenterRight,TrackRight,TrackPosition,AngleToTrackAxis,Speed,Norm_TrackLeft,Norm_TrackCenterLeft,Norm_TrackCenter,Norm_TrackCenterRight,Norm_TrackRight,Norm_TrackPosition,Norm_AngleToTrackAxis,Norm_Speed,Pred_Gear,Pred_Steer,Pred_Accel,Pred_Brake
2996,1749663619400,0.022,20.7648,33.7222,69.4663,25.0352,9.66127,-0.45297,-0.0197577,83.8226,-0.125244,0.0035143953600299265,0.17274726368159204,0.3505786069651741,0.12952835820895522,0.05304114427860696,0.002721542288557214,0.004876827363184079,0.42200298507462686,0.004352019900497512,1,0.0,0.592156862745098,0.0
2997,1749663619422,0.022,20.6847,33.5442,69.0078,25.5187,9.72995,-0.451383,-0.0210207,83.7683,-0.124775,0.0035005458811022375,0.17186169154228853,0.348297512437811,0.13193383084577115,0.05338283582089552,0.0027294378109452735,0.004870543781094527,0.4217328358208955,0.004354353233830846,1,0.0,0.592156862745098,0.0
2998,1749663619440,0.018,20.6041,33.3663,68.5515,26.0306,9.8003,-0.449724,-0.0222821,83.714,-0.124284,0.0034866099509952243,0.1709766169154229,0.3460273631840796,0.13448059701492537,0.053732835820895525,0.002737691542288557,0.0048642681592039804,0.4214626865671642,0.0043567960199004975,1,0.0,0.592156862745098,0.0
2999,1749663619460,0.02,20.5221,33.186,68.0902,26.5818,9.87385,-0.447954,-0.0235598,83.7577,-0.124955,0.0034724319575861044,0.17007960199004976,0.3437323383084577,0.1372228855721393,0.05409875621890547,0.002746497512437811,0.0048579114427860694,0.4216800995024876,0.004353457711442786,1,0.0,0.592156862745098,0.0
3000,1749663619479,0.019,20.4385,33.0046,67.6285,27.1729,9.95089,-0.446039,-0.0248352,83.8198,-0.124847,0.003457977320403149,0.1691771144278607,0.3414353233830846,0.1401636815920398,0.05448203980099502,0.0027560248756218902,0.004851566169154229,0.42198905472636816,0.004353995024875622,1,0.0,0.592156862745098,0.0
3001,1749663619498,0.019,20.3524,32.8206,67.1654,27.8124,10.0322,-0.443925,-0.0261089,83.8641,-0.124386,0.0034430904273235726,0.16826169154228854,0.33913134328358213,0.1433452736318408,0.054886567164179105,0.002766542288557214,0.004845229353233831,0.4222094527363184,0.00435628855721393,1,0.0,0.592156862745098,0.0
3002,1749663619526,0.028,20.2671,32.6374,66.7044,28.4964,10.1148,-0.441772,-0.0273805,83.883,-0.123703,0.003428341856130915,0.1673502487562189,0.33683781094527365,0.14674825870646765,0.05529751243781095,0.002777253731343283,0.004838902985074627,0.4223034825870646,0.004359686567164179,1,0.0,0.592156862745098,0.0
3003,1749663619541,0.015,20.1797,32.4525,66.2415,29.2441,10.2015,-0.439464,-0.0286551,83.8285,-0.123243,0.0034132301899850973,0.16643034825870648,0.33453482587064676,0.1504681592039801,0.05572885572139303,0.0027887363184079597,0.004832561691542289,0.4220323383084577,0.004361975124378109,1,0.0,0.592156862745098,0.0
3004,1749663619562,0.021,20.0925,32.2682,65.7825,30.0471,10.2896,-0.4371,-0.0299205,83.7739,-0.122551,0.003398153104311009,0.1655134328358209,0.3322512437810945,0.154463184079602,0.05616716417910448,0.002800497512437811,0.004826266169154229,0.42176069651741294,0.004365417910447761,1,0.0,0.592156862745098,0.0
3005,1749663619577,0.015,20.005,32.0845,65.3253,30.9244,10.3795,-0.434681,-0.0311844,83.7192,-0.121911,0.003383024147929326,0.1645995024875622,0.3299766169154229,0.15882786069651741,0.056614427860696516,0.0028125323383084576,0.004819978109452737,0.42148855721393036,0.004368601990049751,1,0.0,0.5921568627450979,0.0
