Distanza,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Focus1,Focus2,Focus3,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Damage,DistanceRaced,RPM,Accelerate,Brake,Steering,Gear
5684.1,6.35088,7.17977,8.55651,11.0,16.081,31.6733,195.355,31.6732,16.0809,11.0,8.55645,7.17971,6.35083,5.85296,-1.0,-1.0,-1.0,-3.728E-6,-1.74846E-7,0.0828133,-2.74455E-7,0.0,0.00146484,987.193,1.0,0.0,0.0,1
5684.1,6.35098,7.17988,8.55665,11.0002,16.0812,31.6738,195.353,31.6726,16.0806,10.9998,8.55631,7.1796,6.35073,5.85286,-1.0,-1.0,-1.0,-1.98538E-5,-1.74846E-7,0.0890385,-9.00819E-10,0.0,0.00341797,1033.55,1.0,0.0,0.0,1
5684.1,6.35115,7.18009,8.55692,11.0006,16.0819,31.6758,195.38,31.6706,16.0799,10.9994,8.55604,7.17939,6.35055,5.85271,-1.0,-1.0,-1.0,-4.35222E-5,6.97771E-6,0.41445,-2.78031E-4,0.0,0.00634766,942.478,1.0,0.0,0.0,1
5684.12,6.35186,7.18077,8.55755,11.0011,16.0816,31.6695,195.136,31.677,16.0803,10.999,8.55542,7.17871,6.34985,5.85198,-1.0,-1.0,-1.0,-1.89174E-4,-5.40574E-5,1.49755,0.0051027,0.0,0.0224609,942.478,1.0,0.0,0.0,1
5684.15,6.35252,7.18148,8.55833,11.0019,16.0825,31.6693,195.032,31.6772,16.0794,10.9981,8.55464,7.178,6.34918,5.85135,-1.0,-1.0,-1.0,-3.0639E-4,-7.5992E-5,2.58932,-3.93965E-4,0.0,0.0561523,942.478,1.0,0.0,0.0,1
5684.2,6.35123,7.18006,8.55671,11.0,16.08,31.6666,195.047,31.6799,16.0818,11.0,8.55625,7.17941,6.35048,5.85257,-1.0,-1.0,-1.0,-8.95587E-5,-5.26269E-5,3.5348,-3.69092E-4,0.0,0.106934,942.478,1.0,0.0,0.0,1
5684.27,6.35048,7.17904,8.55521,10.9975,16.0749,31.6477,194.592,31.6988,16.087,11.0025,8.55776,7.18044,6.35123,5.85314,-1.0,-1.0,-1.0,-2.54024E-5,-1.46564E-4,4.63477,0.00493663,0.0,0.175293,942.478,1.0,0.0,0.0,1
5684.36,6.35094,7.1795,8.55565,10.9979,16.0749,31.6446,194.375,31.702,16.087,11.0021,8.55731,7.17998,6.35077,5.85267,-1.0,-1.0,-1.0,-1.17562E-4,-1.80419E-4,5.63509,0.00276765,0.0,0.26416,942.478,1.0,0.0,0.0,1
5684.46,6.35213,7.18073,8.55694,10.9992,16.0758,31.641,194.062,31.7056,16.0861,11.0008,8.55602,7.17875,6.34958,5.8515,-1.0,-1.0,-1.0,-3.38728E-4,-2.39547E-4,6.7373,0.00190875,0.0,0.367188,942.478,1.0,0.0,0.0,1
5684.59,6.35053,7.17891,8.55475,10.9963,16.0715,31.6317,193.887,31.7149,16.0904,11.0037,8.55822,7.18057,6.35117,5.85296,-1.0,-1.0,-1.0,-9.22463E-5,-2.47653E-4,7.70486,0.00122321,0.0,0.488281,987.157,1.0,0.0,0.0,1
